Date Occurred,Victim Sex,Latitude,Longitude,Ethnicity
2019-06-17,F,34.1017,-118.3572,White
2018-04-27,M,34.039,-118.2444,Hispanic
2014-07-21,M,34.0534,-118.2409,Asian
2013-09-27,M,33.79,-118.2632,Hispanic
2016-06-09,F,34.1146,-118.3607,Hispanic
2017-01-15,M,34.0623,-118.2383,Hispanic
2016-05-03,M,34.0385,-118.5556,Other/Unknown
2013-10-21,X,34.0268,-118.2075,Other/Unknown
2012-03-27,F,34.2085,-118.4662,Hispanic
2015-07-18,M,34.0772,-118.2844,Hispanic
2013-02-25,F,34.2501,-118.4762,Hispanic
2016-12-20,F,34.0256,-118.3484,Hispanic
2017-01-26,F,34.1477,-118.4465,Hispanic
2018-10-21,M,34.2011,-118.536,Other/Unknown
2010-01-04,M,34.1052,-118.3267,White
2015-09-09,F,33.9916,-118.2608,Hispanic
2016-11-30,F,33.9825,-118.2695,Hispanic
2012-02-22,F,34.1679,-118.5974,White
2012-03-31,M,34.1899,-118.6572,Other/Unknown
2011-03-12,M,34.1016,-118.3348,White
2014-12-16,M,34.1794,-118.379,Hispanic
2010-03-18,F,34.0553,-118.3964,Hispanic
2016-03-18,M,33.9755,-118.4623,Other/Unknown
2017-02-05,M,33.9527,-118.3859,Black
2019-11-05,F,34.1194,-118.2504,White
2019-06-19,M,34.1368,-118.3863,White
2012-04-30,M,33.9581,-118.2695,Other/Unknown
2012-01-30,M,34.0145,-118.3045,Hispanic
2019-05-29,M,34.2282,-118.5885,Hispanic
2017-07-30,M,34.0256,-118.326,Hispanic
