Date Occurred,Victim Sex,MO Codes,Latitude,Longitude,Ethnicity
2013-09-25,F,4027 3004 3035 3037 3101 3401 3701 3801,34.0674,-118.2954,Asian
2013-09-20,M,1402 0605 4027 3004 3035 3037 3101 3401 3701 3801,34.0607,-118.3091,Black
2018-05-15,M,0605 3101 3401 3701 3004 3026 3029 3602 3801,34.0431,-118.2196,Hispanic
2014-05-13,M,3101 3401 3701 3006 3602 3801,34.071,-118.2302,Asian
2014-01-29,M,3101 3401 3701 3006 3030 3801,34.1101,-118.2385,Other/Unknown
2015-08-24,M,3101 3401 3701 3004 3602 3801,34.0337,-118.2653,Hispanic
2015-02-06,F,3101 3401 3701 3004 3801 3036,34.0382,-118.2384,Hispanic
2015-08-22,F,3101 3401 3701 3004 3602 3801 3026,34.0627,-118.2463,Hispanic
2015-09-28,M,3101 3401 3701 3003 3024 3029 3801,34.0461,-118.2476,Black
2015-05-27,M,3101 3401 3701 3004 3030 3801,34.0552,-118.2322,Hispanic
2015-09-24,M,3101 3401 3701 3006 3030 3602 3801,34.0437,-118.2617,Other/Unknown
2015-08-21,M,3101 3401 3701 3006 3030 3801,34.0532,-118.2476,Hispanic
2015-08-15,M,3101 3401 3701 3004 3025 3034 3036 3801,34.0416,-118.255,Hispanic
2015-09-27,M,3101 3401 3701 3011 3034 3801,34.0352,-118.2583,White
2015-07-17,M,3101 3401 3701 3801 3008 3026,34.0488,-118.2518,Hispanic
2015-07-10,M,3101 3401 3701 3004 3602 3801 3025,34.0419,-118.2485,Black
2015-04-15,M,3101 3401 3701 3011 3801,34.045,-118.264,White
2015-03-10,M,3101 3401 3701 3004 3030 3801,34.0407,-118.268,White
2015-04-05,F,3101 3401 3701 3004 3801 3026,34.0459,-118.2545,Hispanic
2015-06-07,M,3101 3401 3701 3004 3025 3036 3801,34.0407,-118.2468,Hispanic
2015-08-08,M,3101 3401 3701 3004 3026 3801,34.0488,-118.2518,Hispanic
2015-05-15,M,3101 3401 3701 3004 3030 3801,34.0453,-118.2651,Hispanic
2015-08-08,M,3101 3401 3701 3004 3036 3602 3801,34.0438,-118.2397,Hispanic
2015-09-28,M,3101 3401 3701 3004 3036 3026 3801,34.0363,-118.2677,Hispanic
2015-07-11,M,3101 3401 3701 3004 3602 3801 3036,34.0541,-118.2451,Hispanic
2015-02-15,F,3101 3401 3701 3004 3602 3025 3801,34.0383,-118.2327,Hispanic
2015-05-02,M,3101 3401 3701 3006 3801,34.0495,-118.2458,Hispanic
2015-10-12,F,3101 3401 3701 3006 3801,34.0435,-118.2471,Black
2015-02-07,M,3101 3401 3701 3011 3801,34.0399,-118.2383,Other/Unknown
2015-03-28,M,3101 3401 3701 3004 3036 3602 3801,34.0467,-118.2556,Asian
2015-04-11,M,3101 3401 3701 3004 3801,34.0457,-118.2364,Hispanic
